devesh@Devesh:~/work/module1$ ps -e
    PID TTY          TIME CMD
      1 ?        00:00:04 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_g
      5 ?        00:00:00 kworker/R-rcu_p
      6 ?        00:00:00 kworker/R-slub_
      7 ?        00:00:00 kworker/R-netns
     10 ?        00:00:00 kworker/0:0H-events_highpri
     11 ?        00:00:08 kworker/u4:0-flush-8:0
     12 ?        00:00:00 kworker/R-mm_pe
     13 ?        00:00:00 rcu_tasks_kthread
     14 ?        00:00:00 rcu_tasks_rude_kthread
     15 ?        00:00:00 rcu_tasks_trace_kthread
     16 ?        00:00:00 ksoftirqd/0
     17 ?        00:00:05 rcu_preempt
     18 ?        00:00:00 migration/0
     19 ?        00:00:00 idle_inject/0
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 cpuhp/1
     22 ?        00:00:00 idle_inject/1
     23 ?        00:00:00 migration/1
     24 ?        00:00:02 ksoftirqd/1
     27 ?        00:00:00 kdevtmpfs
     28 ?        00:00:00 kworker/R-inet_
     30 ?        00:00:00 kauditd
     32 ?        00:00:00 khungtaskd
     33 ?        00:00:00 oom_reaper
     34 ?        00:00:00 kworker/R-write
     35 ?        00:00:00 kcompactd0
     36 ?        00:00:00 ksmd
     38 ?        00:00:00 khugepaged
     39 ?        00:00:00 kworker/R-kinte
     40 ?        00:00:00 kworker/R-kbloc
     41 ?        00:00:00 kworker/R-blkcg
     42 ?        00:00:00 irq/9-acpi
     43 ?        00:00:00 kworker/R-tpm_d
     44 ?        00:00:00 kworker/R-ata_s
     45 ?        00:00:00 kworker/R-md
     46 ?        00:00:00 kworker/R-md_bi
     47 ?        00:00:00 kworker/R-edac-
     48 ?        00:00:00 kworker/R-devfr
     49 ?        00:00:00 watchdogd
     51 ?        00:00:00 kswapd0
     52 ?        00:00:00 ecryptfs-kthread
     53 ?        00:00:00 kworker/R-kthro
     54 ?        00:00:00 kworker/R-acpi_
     56 ?        00:00:00 scsi_eh_0
     57 ?        00:00:00 kworker/R-scsi_
     58 ?        00:00:00 scsi_eh_1
     59 ?        00:00:00 kworker/R-scsi_
     62 ?        00:00:05 kworker/u4:5-events_unbound
     63 ?        00:00:04 kworker/1:2-events
     64 ?        00:00:00 kworker/R-mld
     65 ?        00:00:00 kworker/R-ipv6_
     72 ?        00:00:00 kworker/R-kstrp
     74 ?        00:00:00 kworker/u5:0
     87 ?        00:00:00 kworker/R-charg
    110 ?        00:00:01 kworker/0:1H-kblockd
    128 ?        00:00:00 scsi_eh_2
    129 ?        00:00:00 kworker/R-scsi_
    153 ?        00:00:00 jbd2/sda3-8
    154 ?        00:00:00 kworker/R-ext4-
    193 ?        00:00:02 systemd-journal
    218 ?        00:00:00 kworker/0:5-events
    220 ?        00:00:01 kworker/0:7-events
    230 ?        00:00:00 kworker/R-ipmi-
    234 ?        00:00:00 irq/18-vmwgfx
    235 ?        00:00:00 kworker/R-ttm
    249 ?        00:00:01 systemd-udevd
    273 ?        00:00:00 kworker/R-iprt-
    295 ?        00:00:00 kworker/R-crypt
    414 ?        00:00:04 systemd-oomd
    418 ?        00:00:03 systemd-resolve
    445 ?        00:00:00 systemd-timesyn
    544 ?        00:00:00 accounts-daemon
    547 ?        00:00:00 acpid
    551 ?        00:00:00 avahi-daemon
    554 ?        00:00:00 cron
    556 ?        00:00:03 dbus-daemon
    559 ?        00:00:01 NetworkManager
    568 ?        00:00:00 irqbalance
    574 ?        00:00:00 networkd-dispat
    579 ?        00:00:02 polkitd
    581 ?        00:00:00 power-profiles-
    586 ?        00:00:00 rsyslogd
    591 ?        00:00:06 snapd
    592 ?        00:00:00 switcheroo-cont
    595 ?        00:00:01 systemd-logind
    598 ?        00:00:00 udisksd
    603 ?        00:00:00 wpa_supplicant
    621 ?        00:00:00 avahi-daemon
    626 ?        00:00:00 ModemManager
    665 ?        00:00:00 cupsd
    680 ?        00:00:00 unattended-upgr
    695 ?        00:00:00 dbus
    697 ?        00:00:00 dbus
    717 ?        00:00:00 cups-browsed
    728 ?        00:00:00 kerneloops
    733 ?        00:00:00 kerneloops
   1074 ?        00:00:03 VBoxDRMClient
   1076 ?        00:00:01 VBoxService
   1095 ?        00:00:00 gdm3
   1162 ?        00:00:00 rtkit-daemon
   1299 ?        00:00:00 upowerd
   1343 ?        00:00:15 packagekitd
   1481 ?        00:00:00 colord
   1538 ?        00:00:00 gdm-session-wor
   1545 ?        00:00:01 systemd
   1546 ?        00:00:00 (sd-pam)
   1552 ?        00:00:00 pipewire
   1553 ?        00:00:00 pipewire-media-
   1554 ?        00:00:03 pulseaudio
